run_id,model_id,issue_id,score
2026-03-12_03-04,gemini-3-flash-preview,D6,0
2026-03-12_03-04,gemini-3-flash-preview,E1,0
2026-03-12_03-04,gemini-3-flash-preview,E2,0
2026-03-12_03-04,gemini-3-flash-preview,E3,1
2026-03-12_03-04,gemini-3-flash-preview,E4,1
2026-03-12_03-04,gemini-3-flash-preview,E5,0
2026-03-12_03-04,gemini-3-flash-preview,E6,0
2026-03-12_03-04,gemini-3-flash-preview,E7,0
2026-03-12_03-04,gemini-3-flash-preview,E8,0
2026-03-12_03-04,gemini-3-flash-preview,F1,0
2026-03-12_03-04,gemini-3-flash-preview,F2,0
2026-03-12_03-04,gemini-3-flash-preview,F3,0
2026-03-12_03-04,gemini-3-flash-preview,F4,0
2026-03-12_03-04,gemini-3-flash-preview,G1,0
2026-03-12_03-04,gemini-3-flash-preview,G2,0.5
2026-03-12_03-04,gemini-3-flash-preview,G3,0
2026-03-12_03-04,gemini-3-flash-preview,G4,0
2026-03-12_03-04,gemini-3-flash-preview,G5,0
2026-03-12_03-04,gemini-3-flash-preview,G6,1
2026-03-12_03-04,gemini-3-flash-preview,G7,0
2026-03-12_03-04,gemini-3-flash-preview,G8,0
2026-03-12_03-04,gemini-3-flash-preview,G9,0.5
2026-03-12_03-04,gemini-3-flash-preview,G10,0
2026-03-12_03-04,gemini-3-flash-preview,G11,0
2026-03-12_03-04,gemini-3-flash-preview,G12,0
2026-03-12_03-04,gemini-3-flash-preview,G13,0
2026-03-12_03-04,gemini-3-flash-preview,G14,0
2026-03-12_03-04,gemini-3-flash-preview,G15,0
2026-03-12_03-04,gemini-3-flash-preview,G16,0
2026-03-12_03-04,gpt-5-mini,A1,0
2026-03-12_03-04,gpt-5-mini,A2,0
2026-03-12_03-04,gpt-5-mini,A3,0
2026-03-12_03-04,gpt-5-mini,A4,0
2026-03-12_03-04,gpt-5-mini,A5,0.5
2026-03-12_03-04,gpt-5-mini,A6,0
2026-03-12_03-04,gpt-5-mini,A9,0
2026-03-12_03-04,gpt-5-mini,A10,0
2026-03-12_03-04,gpt-5-mini,A11,0
2026-03-12_03-04,gpt-5-mini,B1,0
2026-03-12_03-04,gpt-5-mini,B2,0
2026-03-12_03-04,gpt-5-mini,B3,0
2026-03-12_03-04,gpt-5-mini,B4,0
2026-03-12_03-04,gpt-5-mini,B5,1
2026-03-12_03-04,gpt-5-mini,B6,0
2026-03-12_03-04,gpt-5-mini,C1,1
2026-03-12_03-04,gpt-5-mini,C2,0
2026-03-12_03-04,gpt-5-mini,C3,0
2026-03-12_03-04,gpt-5-mini,C4,0
2026-03-12_03-04,gpt-5-mini,C5,1
2026-03-12_03-04,gpt-5-mini,C6,0
2026-03-12_03-04,gpt-5-mini,C7,0
2026-03-12_03-04,gpt-5-mini,C8,0
2026-03-12_03-04,gpt-5-mini,C9,0
2026-03-12_03-04,gpt-5-mini,D1,0
2026-03-12_03-04,gpt-5-mini,D2,0
2026-03-12_03-04,gpt-5-mini,D3,0
2026-03-12_03-04,gpt-5-mini,D4,0
2026-03-12_03-04,gpt-5-mini,D5,0
2026-03-12_03-04,gpt-5-mini,D6,0.5
2026-03-12_03-04,gpt-5-mini,E1,0
2026-03-12_03-04,gpt-5-mini,E2,0
2026-03-12_03-04,gpt-5-mini,E3,0.5
2026-03-12_03-04,gpt-5-mini,E4,1
2026-03-12_03-04,gpt-5-mini,E5,0
2026-03-12_03-04,gpt-5-mini,E6,0
2026-03-12_03-04,gpt-5-mini,E7,0.5
2026-03-12_03-04,gpt-5-mini,E8,0.5
2026-03-12_03-04,gpt-5-mini,F1,0
2026-03-12_03-04,gpt-5-mini,F2,0
2026-03-12_03-04,gpt-5-mini,F3,1
2026-03-12_03-04,gpt-5-mini,F4,0
2026-03-12_03-04,gpt-5-mini,G1,0
2026-03-12_03-04,gpt-5-mini,G2,0
2026-03-12_03-04,gpt-5-mini,G3,0
2026-03-12_03-04,gpt-5-mini,G4,0
2026-03-12_03-04,gpt-5-mini,G5,0
2026-03-12_03-04,gpt-5-mini,G6,1
2026-03-12_03-04,gpt-5-mini,G7,0
2026-03-12_03-04,gpt-5-mini,G8,0
2026-03-12_03-04,gpt-5-mini,G9,0
2026-03-12_03-04,gpt-5-mini,G10,0
2026-03-12_03-04,gpt-5-mini,G11,0
2026-03-12_03-04,gpt-5-mini,G12,0
2026-03-12_03-04,gpt-5-mini,G13,0
2026-03-12_03-04,gpt-5-mini,G14,0
2026-03-12_03-04,gpt-5-mini,G15,0
2026-03-12_03-04,gpt-5-mini,G16,0
2026-03-14_03-48,claude-opus-4-6,A1,0
2026-03-14_03-48,claude-opus-4-6,A2,0
2026-03-14_03-48,claude-opus-4-6,A3,0
2026-03-14_03-48,claude-opus-4-6,A4,1
2026-03-14_03-48,claude-opus-4-6,A5,0
2026-03-14_03-48,claude-opus-4-6,A6,0
2026-03-14_03-48,claude-opus-4-6,A9,0
2026-03-14_03-48,claude-opus-4-6,A10,0
2026-03-14_03-48,claude-opus-4-6,A11,1
2026-03-14_03-48,claude-opus-4-6,B1,0
2026-03-14_03-48,claude-opus-4-6,B2,0
2026-03-14_03-48,claude-opus-4-6,B3,0.5
2026-03-14_03-48,claude-opus-4-6,B4,0
2026-03-14_03-48,claude-opus-4-6,B5,0
2026-03-14_03-48,claude-opus-4-6,B6,0
2026-03-14_03-48,claude-opus-4-6,C1,1
2026-03-14_03-48,claude-opus-4-6,C2,1
2026-03-14_03-48,claude-opus-4-6,C3,0
2026-03-14_03-48,claude-opus-4-6,C4,0.5
2026-03-14_03-48,claude-opus-4-6,C5,1
2026-03-14_03-48,claude-opus-4-6,C6,1
2026-03-14_03-48,claude-opus-4-6,C7,1
2026-03-14_03-48,claude-opus-4-6,C8,0
2026-03-14_03-48,claude-opus-4-6,C9,0
2026-03-14_03-48,claude-opus-4-6,D1,1
2026-03-14_03-48,claude-opus-4-6,D2,1
2026-03-14_03-48,claude-opus-4-6,D3,0
2026-03-14_03-48,claude-opus-4-6,D4,1
2026-03-14_03-48,claude-opus-4-6,D5,0
2026-03-14_03-48,claude-opus-4-6,D6,0
2026-03-14_03-48,claude-opus-4-6,E1,0.5
2026-03-14_03-48,claude-opus-4-6,E2,0
2026-03-14_03-48,claude-opus-4-6,E3,1
2026-03-14_03-48,claude-opus-4-6,E4,1
2026-03-14_03-48,claude-opus-4-6,E5,0
2026-03-14_03-48,claude-opus-4-6,E6,0
2026-03-14_03-48,claude-opus-4-6,E7,1
2026-03-14_03-48,claude-opus-4-6,E8,1
2026-03-14_03-48,claude-opus-4-6,F1,0
2026-03-14_03-48,claude-opus-4-6,F2,0
2026-03-14_03-48,claude-opus-4-6,F3,1
2026-03-14_03-48,claude-opus-4-6,F4,0
2026-03-14_03-48,claude-opus-4-6,G1,0
2026-03-14_03-48,claude-opus-4-6,G2,0
2026-03-14_03-48,claude-opus-4-6,G3,0
2026-03-14_03-48,claude-opus-4-6,G4,1
2026-03-14_03-48,claude-opus-4-6,G5,0
2026-03-14_03-48,claude-opus-4-6,G6,1
2026-03-14_03-48,claude-opus-4-6,G7,0
2026-03-14_03-48,claude-opus-4-6,G8,1
2026-03-14_03-48,claude-opus-4-6,G9,0
2026-03-14_03-48,claude-opus-4-6,G10,0
2026-03-14_03-48,claude-opus-4-6,G11,1
2026-03-14_03-48,claude-opus-4-6,G12,0
2026-03-14_03-48,claude-opus-4-6,G13,0
2026-03-14_03-48,claude-opus-4-6,G14,1
2026-03-14_03-48,claude-opus-4-6,G15,1
2026-03-14_03-48,claude-opus-4-6,G16,0
2026-03-14_03-48,claude-sonnet-4-6,A1,0
2026-03-14_03-48,claude-sonnet-4-6,A2,0
2026-03-14_03-48,claude-sonnet-4-6,A3,0
2026-03-14_03-48,claude-sonnet-4-6,A4,1
2026-03-14_03-48,claude-sonnet-4-6,A5,0
2026-03-14_03-48,claude-sonnet-4-6,A6,0
2026-03-14_03-48,claude-sonnet-4-6,A9,0
2026-03-14_03-48,claude-sonnet-4-6,A10,1
2026-03-14_03-48,claude-sonnet-4-6,A11,0
2026-03-14_03-48,claude-sonnet-4-6,B1,0
2026-03-14_03-48,claude-sonnet-4-6,B2,1
2026-03-14_03-48,claude-sonnet-4-6,B3,0
2026-03-14_03-48,claude-sonnet-4-6,B4,0
2026-03-14_03-48,claude-sonnet-4-6,B5,0
2026-03-14_03-48,claude-sonnet-4-6,B6,0
2026-03-14_03-48,claude-sonnet-4-6,C1,1
2026-03-14_03-48,claude-sonnet-4-6,C2,1
2026-03-14_03-48,claude-sonnet-4-6,C3,0.5
2026-03-14_03-48,claude-sonnet-4-6,C4,0
2026-03-14_03-48,claude-sonnet-4-6,C5,0
2026-03-14_03-48,claude-sonnet-4-6,C6,0
2026-03-14_03-48,claude-sonnet-4-6,C7,0
2026-03-14_03-48,claude-sonnet-4-6,C8,0
2026-03-14_03-48,claude-sonnet-4-6,C9,0.5
2026-03-14_03-48,claude-sonnet-4-6,D1,0
2026-03-14_03-48,claude-sonnet-4-6,D2,1
2026-03-14_03-48,claude-sonnet-4-6,D3,0
2026-03-14_03-48,claude-sonnet-4-6,D4,0
2026-03-14_03-48,claude-sonnet-4-6,D5,0
2026-03-14_03-48,claude-sonnet-4-6,D6,0
2026-03-14_03-48,claude-sonnet-4-6,E1,0
2026-03-14_03-48,claude-sonnet-4-6,E2,0
2026-03-14_03-48,claude-sonnet-4-6,E3,1
2026-03-14_03-48,claude-sonnet-4-6,E4,0.5
2026-03-14_03-48,claude-sonnet-4-6,E5,0
2026-03-14_03-48,claude-sonnet-4-6,E6,0
2026-03-14_03-48,claude-sonnet-4-6,E7,0
2026-03-14_03-48,claude-sonnet-4-6,E8,0
2026-03-14_03-48,claude-sonnet-4-6,F1,0
2026-03-14_03-48,claude-sonnet-4-6,F2,0
2026-03-14_03-48,claude-sonnet-4-6,F3,1
2026-03-14_03-48,claude-sonnet-4-6,F4,0
2026-03-14_03-48,claude-sonnet-4-6,G1,0
2026-03-14_03-48,claude-sonnet-4-6,G2,0
2026-03-14_03-48,claude-sonnet-4-6,G3,0.5
2026-03-14_03-48,claude-sonnet-4-6,G4,1
2026-03-14_03-48,claude-sonnet-4-6,G5,0
2026-03-14_03-48,claude-sonnet-4-6,G6,1
2026-03-14_03-48,claude-sonnet-4-6,G7,0
2026-03-14_03-48,claude-sonnet-4-6,G8,0
2026-03-14_03-48,claude-sonnet-4-6,G9,0
2026-03-14_03-48,claude-sonnet-4-6,G10,0
2026-03-14_03-48,claude-sonnet-4-6,G11,0
2026-03-14_03-48,claude-sonnet-4-6,G12,1
2026-03-14_03-48,claude-sonnet-4-6,G13,0
2026-03-14_03-48,claude-sonnet-4-6,G14,1
2026-03-14_03-48,claude-sonnet-4-6,G15,1
2026-03-14_03-48,claude-sonnet-4-6,G16,1
2026-03-14_03-48,gemini-3.1-pro-preview,A1,1
2026-03-14_03-48,gemini-3.1-pro-preview,A2,0
2026-03-14_03-48,gemini-3.1-pro-preview,A3,0
2026-03-14_03-48,gemini-3.1-pro-preview,A4,0
2026-03-14_03-48,gemini-3.1-pro-preview,A5,0
2026-03-14_03-48,gemini-3.1-pro-preview,A6,1
2026-03-14_03-48,gemini-3.1-pro-preview,A9,0
2026-03-14_03-48,gemini-3.1-pro-preview,A10,1
2026-03-14_03-48,gemini-3.1-pro-preview,A11,0
2026-03-14_03-48,gemini-3.1-pro-preview,B1,0
2026-03-14_03-48,gemini-3.1-pro-preview,B2,0
2026-03-14_03-48,gemini-3.1-pro-preview,B3,0
2026-03-14_03-48,gemini-3.1-pro-preview,B4,0
2026-03-14_03-48,gemini-3.1-pro-preview,B5,0
2026-03-14_03-48,gemini-3.1-pro-preview,B6,0
2026-03-14_03-48,gemini-3.1-pro-preview,C1,1
2026-03-14_03-48,gemini-3.1-pro-preview,C2,1
2026-03-14_03-48,gemini-3.1-pro-preview,C3,0
2026-03-14_03-48,gemini-3.1-pro-preview,C4,0
2026-03-14_03-48,gemini-3.1-pro-preview,C5,0
2026-03-14_03-48,gemini-3.1-pro-preview,C6,0
2026-03-14_03-48,gemini-3.1-pro-preview,C7,0.5
2026-03-14_03-48,gemini-3.1-pro-preview,C8,0
2026-03-14_03-48,gemini-3.1-pro-preview,C9,0
2026-03-14_03-48,gemini-3.1-pro-preview,D1,0
2026-03-14_03-48,gemini-3.1-pro-preview,D2,1
2026-03-14_03-48,gemini-3.1-pro-preview,D3,0
2026-03-14_03-48,gemini-3.1-pro-preview,D4,0
2026-03-14_03-48,gemini-3.1-pro-preview,D5,0
2026-03-14_03-48,gemini-3.1-pro-preview,D6,0
2026-03-14_03-48,gemini-3.1-pro-preview,E1,0
2026-03-14_03-48,gemini-3.1-pro-preview,E2,0
2026-03-14_03-48,gemini-3.1-pro-preview,E3,0
2026-03-14_03-48,gemini-3.1-pro-preview,E4,0
2026-03-14_03-48,gemini-3.1-pro-preview,E5,0
2026-03-14_03-48,gemini-3.1-pro-preview,E6,0
2026-03-14_03-48,gemini-3.1-pro-preview,E7,1
2026-03-14_03-48,gemini-3.1-pro-preview,E8,1
2026-03-14_03-48,gemini-3.1-pro-preview,F1,0
2026-03-14_03-48,gemini-3.1-pro-preview,F2,0
2026-03-14_03-48,gemini-3.1-pro-preview,F3,0
2026-03-14_03-48,gemini-3.1-pro-preview,F4,0
2026-03-14_03-48,gemini-3.1-pro-preview,G1,0
2026-03-14_03-48,gemini-3.1-pro-preview,G2,0
2026-03-14_03-48,gemini-3.1-pro-preview,G3,0
2026-03-14_03-48,gemini-3.1-pro-preview,G4,0
2026-03-14_03-48,gemini-3.1-pro-preview,G5,0
2026-03-14_03-48,gemini-3.1-pro-preview,G6,0
2026-03-14_03-48,gemini-3.1-pro-preview,G7,0
2026-03-14_03-48,gemini-3.1-pro-preview,G8,0
2026-03-14_03-48,gemini-3.1-pro-preview,G9,0
2026-03-14_03-48,gemini-3.1-pro-preview,G10,0
2026-03-14_03-48,gemini-3.1-pro-preview,G11,0
2026-03-14_03-48,gemini-3.1-pro-preview,G12,0
2026-03-14_03-48,gemini-3.1-pro-preview,G13,0
2026-03-14_03-48,gemini-3.1-pro-preview,G14,0
2026-03-14_03-48,gemini-3.1-pro-preview,G15,0
2026-03-14_03-48,gemini-3.1-pro-preview,G16,0
2026-03-14_13-54,gpt-5.4-pro,A1,1
2026-03-14_13-54,gpt-5.4-pro,A2,0
2026-03-14_13-54,gpt-5.4-pro,A3,0
2026-03-14_13-54,gpt-5.4-pro,A4,1
2026-03-14_13-54,gpt-5.4-pro,A5,0
2026-03-14_13-54,gpt-5.4-pro,A6,1
2026-03-14_13-54,gpt-5.4-pro,A9,0
2026-03-14_13-54,gpt-5.4-pro,A10,1
2026-03-14_13-54,gpt-5.4-pro,A11,1
2026-03-14_13-54,gpt-5.4-pro,B1,0
2026-03-14_13-54,gpt-5.4-pro,B2,1
2026-03-14_13-54,gpt-5.4-pro,B3,0
2026-03-14_13-54,gpt-5.4-pro,B4,0
2026-03-14_13-54,gpt-5.4-pro,B5,0
2026-03-14_13-54,gpt-5.4-pro,B6,0.5
2026-03-14_13-54,gpt-5.4-pro,C1,1
2026-03-14_13-54,gpt-5.4-pro,C2,1
2026-03-14_13-54,gpt-5.4-pro,C3,0
2026-03-14_13-54,gpt-5.4-pro,C4,1
2026-03-14_13-54,gpt-5.4-pro,C5,1
2026-03-14_13-54,gpt-5.4-pro,C6,1
2026-03-14_13-54,gpt-5.4-pro,C7,1
2026-03-14_13-54,gpt-5.4-pro,C8,0
2026-03-14_13-54,gpt-5.4-pro,C9,0
2026-03-14_13-54,gpt-5.4-pro,D1,0
2026-03-14_13-54,gpt-5.4-pro,D2,0
2026-03-14_13-54,gpt-5.4-pro,D3,0
2026-03-14_13-54,gpt-5.4-pro,D4,0
2026-03-14_13-54,gpt-5.4-pro,D5,0
2026-03-14_13-54,gpt-5.4-pro,D6,0.5
2026-03-14_13-54,gpt-5.4-pro,E1,0
2026-03-14_13-54,gpt-5.4-pro,E2,1
2026-03-14_13-54,gpt-5.4-pro,E3,1
2026-03-14_13-54,gpt-5.4-pro,E4,1
2026-03-14_13-54,gpt-5.4-pro,E5,0.5
2026-03-14_13-54,gpt-5.4-pro,E6,0
2026-03-14_13-54,gpt-5.4-pro,E7,1
2026-03-14_13-54,gpt-5.4-pro,E8,1
2026-03-14_13-54,gpt-5.4-pro,F1,0
2026-03-14_13-54,gpt-5.4-pro,F2,0
2026-03-14_13-54,gpt-5.4-pro,F3,1
2026-03-14_13-54,gpt-5.4-pro,F4,0
2026-03-14_13-54,gpt-5.4-pro,G1,0
2026-03-14_13-54,gpt-5.4-pro,G2,0
2026-03-14_13-54,gpt-5.4-pro,G3,0
2026-03-14_13-54,gpt-5.4-pro,G4,0
2026-03-14_13-54,gpt-5.4-pro,G5,0
2026-03-14_13-54,gpt-5.4-pro,G6,0.5
2026-03-14_13-54,gpt-5.4-pro,G7,0
2026-03-14_13-54,gpt-5.4-pro,G8,0
2026-03-14_13-54,gpt-5.4-pro,G9,0.5
2026-03-14_13-54,gpt-5.4-pro,G10,0
2026-03-14_13-54,gpt-5.4-pro,G11,1
2026-03-14_13-54,gpt-5.4-pro,G12,1
2026-03-14_13-54,gpt-5.4-pro,G13,0
2026-03-14_13-54,gpt-5.4-pro,G14,0
2026-03-14_13-54,gpt-5.4-pro,G15,1
2026-03-14_13-54,gpt-5.4-pro,G16,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A3,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A6,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A9,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A10,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,A11,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B3,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,B6,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C3,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C6,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C7,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C8,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,C9,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D3,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,D6,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E3,1
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E4,1
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E6,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E7,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,E8,1
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,F1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,F2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,F3,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,F4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G1,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G2,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G3,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G4,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G5,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G6,0.5
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G7,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G8,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G9,1
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G10,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G11,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G12,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G13,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G14,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G15,0
2026-03-15_15-24,grok-4.20-beta-0309-reasoning,G16,0
2026-03-15_15-32,gpt-4o,A1,0
2026-03-15_15-32,gpt-4o,A2,0
2026-03-15_15-32,gpt-4o,A3,0
2026-03-15_15-32,gpt-4o,A4,0
2026-03-15_15-32,gpt-4o,A5,0
2026-03-15_15-32,gpt-4o,A6,0
2026-03-15_15-32,gpt-4o,A9,0
2026-03-15_15-32,gpt-4o,A10,0
2026-03-15_15-32,gpt-4o,A11,0
2026-03-15_15-32,gpt-4o,B1,0
2026-03-15_15-32,gpt-4o,B2,0
2026-03-15_15-32,gpt-4o,B3,0
2026-03-15_15-32,gpt-4o,B4,0
2026-03-15_15-32,gpt-4o,B5,0
2026-03-15_15-32,gpt-4o,B6,0
2026-03-15_15-32,gpt-4o,C1,0
2026-03-15_15-32,gpt-4o,C2,0
2026-03-15_15-32,gpt-4o,C3,0
2026-03-15_15-32,gpt-4o,C4,0
2026-03-15_15-32,gpt-4o,C5,0.5
2026-03-15_15-32,gpt-4o,C6,0
2026-03-15_15-32,gpt-4o,C7,0
2026-03-15_15-32,gpt-4o,C8,0
2026-03-15_15-32,gpt-4o,C9,0
2026-03-15_15-32,gpt-4o,D1,0
2026-03-15_15-32,gpt-4o,D2,0
2026-03-15_15-32,gpt-4o,D3,0
2026-03-15_15-32,gpt-4o,D4,0
2026-03-15_15-32,gpt-4o,D5,0
2026-03-15_15-32,gpt-4o,D6,0.5
2026-03-15_15-32,gpt-4o,E1,0
2026-03-15_15-32,gpt-4o,E2,0.5
2026-03-15_15-32,gpt-4o,E3,0
2026-03-15_15-32,gpt-4o,E4,0
2026-03-15_15-32,gpt-4o,E5,0
2026-03-15_15-32,gpt-4o,E6,0
